"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
8.416127916E-1,5.059498901E-1,2.417743722E-1,2.836464000E-3,1.600000024E0,8.000000000E2
8.457737496E-1,4.980489191E-1,2.333378442E-1,2.836533000E-3,1.600000024E0,8.000000000E2
8.499344576E-1,5.097049846E-1,2.458720893E-1,2.836188000E-3,1.600000024E0,8.000000000E2
8.540952496E-1,5.046498683E-1,2.405135159E-1,2.836023000E-3,1.600000024E0,8.000000000E2
8.582560417E-1,5.069705047E-1,2.430821460E-1,2.835775000E-3,1.600000024E0,8.000000000E2
8.624169166E-1,5.027741555E-1,2.385821760E-1,2.835676000E-3,1.600000024E0,8.000000000E2
8.665777916E-1,4.975136900E-1,2.330688032E-1,2.835764000E-3,1.600000024E0,8.000000000E2
8.707386247E-1,5.054027112E-1,2.414870666E-1,2.835572000E-3,1.600000024E0,8.000000000E2
8.748994576E-1,5.013211438E-1,2.371317940E-1,2.835525000E-3,1.600000024E0,8.000000000E2
8.790605416E-1,5.090869449E-1,2.455733767E-1,2.835202000E-3,1.600000024E0,8.000000000E2
8.832212496E-1,5.028426577E-1,2.388133550E-1,2.835101000E-3,1.600000024E0,8.000000000E2
8.873820826E-1,4.994544982E-1,2.352022214E-1,2.835120000E-3,1.600000024E0,8.000000000E2
8.915429576E-1,5.041188322E-1,2.401290719E-1,2.834974000E-3,1.600000024E0,8.000000000E2
8.957037916E-1,4.956121906E-1,2.309553795E-1,2.835129000E-3,1.600000024E0,8.000000000E2
8.998646246E-1,5.079966226E-1,2.441694859E-1,2.834845000E-3,1.600000024E0,8.000000000E2
9.040254997E-1,5.029107406E-1,2.388642928E-1,2.834741000E-3,1.600000024E0,8.000000000E2
9.081862496E-1,5.071158426E-1,2.434292995E-1,2.834488000E-3,1.600000024E0,8.000000000E2
9.123472496E-1,5.030418749E-1,2.390499925E-1,2.834380000E-3,1.600000024E0,8.000000000E2
9.165079576E-1,4.976038906E-1,2.331588088E-1,2.834464000E-3,1.600000024E0,8.000000000E2
9.206687496E-1,5.062509434E-1,2.423337437E-1,2.834242000E-3,1.600000024E0,8.000000000E2
9.248295827E-1,5.022652372E-1,2.382374783E-1,2.834161000E-3,1.600000024E0,8.000000000E2
9.289904996E-1,5.099167282E-1,2.464838464E-1,2.833809000E-3,1.600000024E0,8.000000000E2
9.331513326E-1,5.036823993E-1,2.397922389E-1,2.833678000E-3,1.600000024E0,8.000000000E2
9.373121246E-1,4.999764147E-1,2.359002441E-1,2.833678000E-3,1.600000024E0,8.000000000E2
9.414729996E-1,5.051572668E-1,2.413144417E-1,2.833495000E-3,1.600000024E0,8.000000000E2
9.456340826E-1,4.963874656E-1,2.318391325E-1,2.833622000E-3,1.600000024E0,8.000000000E2
9.497946246E-1,5.086428598E-1,2.449809025E-1,2.833315000E-3,1.600000024E0,8.000000000E2
9.539555826E-1,5.032594886E-1,2.392194163E-1,2.833199000E-3,1.600000024E0,8.000000000E2
9.581164577E-1,5.067871159E-1,2.430805227E-1,2.832958000E-3,1.600000024E0,8.000000000E2
9.622772916E-1,5.031639420E-1,2.392446798E-1,2.832845000E-3,1.600000024E0,8.000000000E2
9.664381247E-1,4.975696657E-1,2.332562946E-1,2.832931000E-3,1.600000024E0,8.000000000E2
9.705989576E-1,5.063087536E-1,2.426557767E-1,2.832707000E-3,1.600000024E0,8.000000000E2
9.747597916E-1,5.022023954E-1,2.381886931E-1,2.832629000E-3,1.600000024E0,8.000000000E2
9.789207077E-1,5.096569754E-1,2.464764379E-1,2.832287000E-3,1.600000024E0,8.000000000E2
9.830814576E-1,5.032220666E-1,2.394508659E-1,2.832172000E-3,1.600000024E0,8.000000000E2
9.872422497E-1,4.993376199E-1,2.351908014E-1,2.832195000E-3,1.600000024E0,8.000000000E2
9.914031666E-1,5.047265468E-1,2.409982940E-1,2.832027000E-3,1.600000024E0,8.000000000E2
9.955639996E-1,4.958334207E-1,2.313406458E-1,2.832174000E-3,1.600000024E0,8.000000000E2
9.997247916E-1,5.082672246E-1,2.448685105E-1,2.831881000E-3,1.600000024E0,8.000000000E2
1.003885625E0,5.029926078E-1,2.392794108E-1,2.831775000E-3,1.600000024E0,8.000000000E2
1.008046500E0,5.057152950E-1,2.421976586E-1,2.831572000E-3,1.600000024E0,8.000000000E2
1.012207583E0,5.030471161E-1,2.392793018E-1,2.831464000E-3,1.600000024E0,8.000000000E2
1.016368125E0,4.972309284E-1,2.330684057E-1,2.831562000E-3,1.600000024E0,8.000000000E2
1.020528958E0,5.064091222E-1,2.428344320E-1,2.831335000E-3,1.600000024E0,8.000000000E2
1.024689958E0,5.028498382E-1,2.390813417E-1,2.831234000E-3,1.600000024E0,8.000000000E2
1.028850833E0,5.100198745E-1,2.469394318E-1,2.830879000E-3,1.600000024E0,8.000000000E2
1.033011625E0,5.032401487E-1,2.395317595E-1,2.830764000E-3,1.600000024E0,8.000000000E2
1.037172458E0,4.995190695E-1,2.356487549E-1,2.830781000E-3,1.600000024E0,8.000000000E2
1.041333292E0,5.047830991E-1,2.411955782E-1,2.830611000E-3,1.600000024E0,8.000000000E2
1.045494250E0,4.965759384E-1,2.323301695E-1,2.830732000E-3,1.600000024E0,8.000000000E2
1.049655000E0,5.086331637E-1,2.453555441E-1,2.830426000E-3,1.600000024E0,8.000000000E2
1.053815833E0,5.035165684E-1,2.399530218E-1,2.830301000E-3,1.600000024E0,8.000000000E2
1.057976667E0,5.050482503E-1,2.416596181E-1,2.830122000E-3,1.600000024E0,8.000000000E2
1.062137500E0,5.033614820E-1,2.397130459E-1,2.830003000E-3,1.600000024E0,8.000000000E2
1.066298333E0,4.975287845E-1,2.333238560E-1,2.830090000E-3,1.600000024E0,8.000000000E2
1.070459167E0,5.068021057E-1,2.433391602E-1,2.829849000E-3,1.600000024E0,8.000000000E2
1.074619958E0,5.025061217E-1,2.388839088E-1,2.829760000E-3,1.600000024E0,8.000000000E2
1.078781083E0,5.092961727E-1,2.463852654E-1,2.829431000E-3,1.600000024E0,8.000000000E2
1.082941708E0,5.032081251E-1,2.397212410E-1,2.829317000E-3,1.600000024E0,8.000000000E2
