"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
5.974229166E-1,5.325898548E-1,1.490714093E-1,2.556303000E-3,1.600000024E0,1.600000000E3
6.015837917E-1,4.559207492E-1,1.063293743E-1,2.557711000E-3,1.600000024E0,1.600000000E3
6.057447497E-1,5.353058332E-1,1.506895798E-1,2.556582000E-3,1.600000024E0,1.600000000E3
6.099055826E-1,4.719321288E-1,1.145463058E-1,2.557478000E-3,1.600000024E0,1.600000000E3
6.140664167E-1,5.024668653E-1,1.313111397E-1,2.557399000E-3,1.600000024E0,1.600000000E3
6.182273327E-1,5.152000453E-1,1.386480798E-1,2.556913000E-3,1.600000024E0,1.600000000E3
6.223881246E-1,4.636299456E-1,1.102040474E-1,2.558075000E-3,1.600000024E0,1.600000000E3
6.265491247E-1,5.386138027E-1,1.528475858E-1,2.556840000E-3,1.600000024E0,1.600000000E3
6.307098327E-1,4.568912057E-1,1.067698826E-1,2.558217000E-3,1.600000024E0,1.600000000E3
6.348706667E-1,5.207237228E-1,1.419250178E-1,2.557554000E-3,1.600000024E0,1.600000000E3
6.390314577E-1,4.995956955E-1,1.296207967E-1,2.557566000E-3,1.600000024E0,1.600000000E3
6.431923326E-1,4.829937399E-1,1.204180469E-1,2.558109000E-3,1.600000024E0,1.600000000E3
6.473531667E-1,5.372817573E-1,1.518796215E-1,2.556916000E-3,1.600000024E0,1.600000000E3
6.515140416E-1,4.576474029E-1,1.071796957E-1,2.558269000E-3,1.600000024E0,1.600000000E3
6.556748747E-1,5.378142610E-1,1.522502322E-1,2.557059000E-3,1.600000024E0,1.600000000E3
6.598359577E-1,4.784906770E-1,1.180269531E-1,2.557746000E-3,1.600000024E0,1.600000000E3
6.639965416E-1,5.033109570E-1,1.318136175E-1,2.557640000E-3,1.600000024E0,1.600000000E3
6.681573747E-1,5.245903495E-1,1.441336337E-1,2.556853000E-3,1.600000024E0,1.600000000E3
6.723182916E-1,4.648386661E-1,1.108265039E-1,2.557976000E-3,1.600000024E0,1.600000000E3
6.764792076E-1,5.426230419E-1,1.552621543E-1,2.556613000E-3,1.600000024E0,1.600000000E3
6.806400417E-1,4.627026764E-1,1.097546594E-1,2.557804000E-3,1.600000024E0,1.600000000E3
6.848009166E-1,5.215923433E-1,1.424178914E-1,2.557113000E-3,1.600000024E0,1.600000000E3
6.889617497E-1,5.029482151E-1,1.315512961E-1,2.557018000E-3,1.600000024E0,1.600000000E3
6.931227077E-1,4.786963932E-1,1.182000128E-1,2.557698000E-3,1.600000024E0,1.600000000E3
6.972834167E-1,5.378940318E-1,1.523836495E-1,2.556486000E-3,1.600000024E0,1.600000000E3
7.014442917E-1,4.565272059E-1,1.066331893E-1,2.557875000E-3,1.600000024E0,1.600000000E3
7.056050827E-1,5.325933663E-1,1.490599535E-1,2.556832000E-3,1.600000024E0,1.600000000E3
7.097659167E-1,4.788559347E-1,1.181546434E-1,2.557507000E-3,1.600000024E0,1.600000000E3
7.139268327E-1,4.956422749E-1,1.274955138E-1,2.557646000E-3,1.600000024E0,1.600000000E3
7.180877076E-1,5.242934892E-1,1.440630836E-1,2.556869000E-3,1.600000024E0,1.600000000E3
7.222484997E-1,4.594608505E-1,1.080889814E-1,2.558164000E-3,1.600000024E0,1.600000000E3
7.264095416E-1,5.393137097E-1,1.532064236E-1,2.556906000E-3,1.600000024E0,1.600000000E3
7.305701667E-1,4.620225287E-1,1.093917801E-1,2.558119000E-3,1.600000024E0,1.600000000E3
7.347309997E-1,5.154967484E-1,1.388153838E-1,2.557623000E-3,1.600000024E0,1.600000000E3
7.388918746E-1,5.072986025E-1,1.339280558E-1,2.557389000E-3,1.600000024E0,1.600000000E3
7.430527077E-1,4.772309074E-1,1.173079174E-1,2.558116000E-3,1.600000024E0,1.600000000E3
7.472137077E-1,5.405075976E-1,1.539624123E-1,2.556820000E-3,1.600000024E0,1.600000000E3
7.513745417E-1,4.584031284E-1,1.075920759E-1,2.558149000E-3,1.600000024E0,1.600000000E3
7.555353327E-1,5.345912510E-1,1.502549669E-1,2.557042000E-3,1.600000024E0,1.600000000E3
7.596963746E-1,4.852704553E-1,1.216724251E-1,2.557512000E-3,1.600000024E0,1.600000000E3
7.638570827E-1,4.962781346E-1,1.278117216E-1,2.557630000E-3,1.600000024E0,1.600000000E3
7.680179577E-1,5.308848471E-1,1.479883952E-1,2.556642000E-3,1.600000024E0,1.600000000E3
7.721787076E-1,4.617497778E-1,1.092446553E-1,2.557864000E-3,1.600000024E0,1.600000000E3
7.763395417E-1,5.432911873E-1,1.557490023E-1,2.556479000E-3,1.600000024E0,1.600000000E3
7.805004166E-1,4.699146422E-1,1.135279487E-1,2.557440000E-3,1.600000024E0,1.600000000E3
7.846613326E-1,5.166460863E-1,1.394238602E-1,2.556907000E-3,1.600000024E0,1.600000000E3
7.888221667E-1,5.111959949E-1,1.363165133E-1,2.556549000E-3,1.600000024E0,1.600000000E3
7.929832496E-1,4.743832182E-1,1.158655330E-1,2.557367000E-3,1.600000024E0,1.600000000E3
7.971438327E-1,5.416414741E-1,1.547434746E-1,2.556035000E-3,1.600000024E0,1.600000000E3
8.013047077E-1,4.587809649E-1,1.077549851E-1,2.557351000E-3,1.600000024E0,1.600000000E3
8.054654997E-1,5.282185026E-1,1.464952274E-1,2.556448000E-3,1.600000024E0,1.600000000E3
8.096263327E-1,4.853741258E-1,1.217618719E-1,2.556915000E-3,1.600000024E0,1.600000000E3
8.137872496E-1,4.872134648E-1,1.228186614E-1,2.557323000E-3,1.600000024E0,1.600000000E3
8.179480827E-1,5.290382229E-1,1.468784635E-1,2.556394000E-3,1.600000024E0,1.600000000E3
8.221089997E-1,4.553472595E-1,1.060689766E-1,2.557820000E-3,1.600000024E0,1.600000000E3
8.262699576E-1,5.376100123E-1,1.522544630E-1,2.556617000E-3,1.600000024E0,1.600000000E3
8.304306667E-1,4.683276135E-1,1.126648438E-1,2.557629000E-3,1.600000024E0,1.600000000E3
8.345915416E-1,5.079220406E-1,1.343939428E-1,2.557375000E-3,1.600000024E0,1.600000000E3
8.387524167E-1,5.149542340E-1,1.385031693E-1,2.556896000E-3,1.600000024E0,1.600000000E3
8.429132497E-1,4.710291787E-1,1.140893765E-1,2.557821000E-3,1.600000024E0,1.600000000E3
8.470740826E-1,5.427221002E-1,1.553689076E-1,2.556455000E-3,1.600000024E0,1.600000000E3
8.512349167E-1,4.598125860E-1,1.082784469E-1,2.557739000E-3,1.600000024E0,1.600000000E3
8.553957496E-1,5.296866090E-1,1.473533252E-1,2.556789000E-3,1.600000024E0,1.600000000E3
8.595568326E-1,4.951172137E-1,1.271143872E-1,2.556945000E-3,1.600000024E0,1.600000000E3
8.637174577E-1,4.885934146E-1,1.234770750E-1,2.557309000E-3,1.600000024E0,1.600000000E3
